"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.856346979E0,2.921850681E-1,-6.689410210E-1,-3.048598289E0,3.134773634E0
1.872781195E0,2.097949982E-1,-2.371006012E-1,-3.241930962E0,3.257352759E0
1.889215836E0,1.807035804E-1,-8.052444458E-2,-3.123532772E0,3.129791518E0
1.905649074E0,3.230996132E-1,-7.477712631E-2,-2.628357410E0,2.649197549E0
1.922065426E0,5.372503400E-1,-7.232332230E-2,-2.168795109E0,2.235518019E0
1.938517402E0,6.288382411E-1,1.999993324E-1,-1.896968842E0,2.008464103E0
1.954951769E0,7.326577902E-1,6.934146881E-1,-1.676191330E0,1.956330428E0
1.971382821E0,6.679477692E-1,1.189123154E0,-1.312116146E0,1.892568857E0
1.987820218E0,5.335853696E-1,1.436274529E0,-1.039314747E0,1.851424590E0
2.004255369E0,4.005658031E-1,1.398869991E0,-7.843103409E-1,1.653007237E0
2.020689258E0,2.946026325E-1,1.149401188E0,-5.501451492E-1,1.307888943E0
2.037120117E0,2.732838988E-1,7.532753944E-1,-1.842136383E-1,8.222180816E-1
2.053546905E0,2.720704079E-1,3.306226730E-1,2.316312790E-1,4.868128061E-1
2.069990103E0,2.370932102E-1,1.014304161E-1,8.204660416E-1,8.600382811E-1
2.086420695E0,7.866698503E-2,1.835150719E-1,1.429240227E0,1.443119504E0
2.102858115E0,-5.380564928E-2,3.447237015E-1,2.403283119E0,2.428476730E0
2.119292298E0,-9.861201048E-2,5.605773926E-1,3.364270210E0,3.412079335E0
2.135725465E0,-3.138929605E-1,7.463889122E-1,3.300343513E0,3.398219020E0
2.152161440E0,-6.066282392E-1,8.332114220E-1,2.839620590E0,3.020874739E0
2.168594556E0,-6.921273470E-1,8.823623657E-1,2.718569756E0,2.940786481E0
2.185028841E0,-5.749175549E-1,7.860832214E-1,3.049839020E0,3.201558226E0
2.201459537E0,-3.673543930E-1,3.091068268E-1,3.277318954E0,3.312297663E0
2.217896905E0,-1.251593828E-1,-4.194116592E-1,3.301608086E0,3.330493501E0
2.234330895E0,-5.365103483E-3,-1.191626787E0,2.845374107E0,3.084826899E0
2.250762140E0,-1.620606780E-1,-1.446147203E0,1.918095589E0,2.407632880E0
2.267200872E0,-5.033445954E-1,-1.283960581E0,6.769256592E-1,1.536274358E0
2.283634111E0,-7.684600949E-1,-9.927942753E-1,-3.877811432E-1,1.313980824E0
2.300067094E0,-8.791585565E-1,-9.048538208E-1,-7.001481056E-1,1.442874760E0
2.316499406E0,-6.372016668E-1,-1.157979488E0,-2.774143219E-1,1.350518851E0
2.332937385E0,-2.994570732E-1,-1.532785892E0,4.049272537E-1,1.613404231E0
2.349367347E0,1.121244133E-1,-1.852180481E0,7.359390259E-1,1.996184027E0
2.365806109E0,3.351767063E-1,-1.979257584E0,6.928329468E-1,2.123634031E0
2.382237394E0,2.431100309E-1,-1.757333994E0,-1.991176605E-2,1.774181989E0
2.398663776E0,-2.212018073E-1,-1.255655527E0,-1.071447849E0,1.665413323E0
2.415105803E0,-5.951315165E-1,-9.993638992E-1,-1.824803829E0,2.163982149E0
2.431539398E0,-7.055444717E-1,-1.089309931E0,-2.297160149E0,2.638433982E0
2.447973611E0,-4.956431389E-1,-1.352494240E0,-2.270264626E0,2.688680766E0
2.464407541E0,-8.143761754E-2,-1.530432701E0,-1.950373650E0,2.480486588E0
2.480842102E0,1.076226532E-1,-1.256035328E0,-1.727036953E0,2.138191763E0
2.497275686E0,-6.430566311E-2,-7.479257584E-1,-1.891520977E0,2.035038025E0
2.513709168E0,-4.338014424E-1,-2.163467407E-1,-2.137075901E0,2.191365558E0
2.530145021E0,-7.717626095E-1,1.004972458E-1,-1.968530655E0,2.116797147E0
2.546578320E0,-1.005648017E0,7.141160965E-2,-1.675977707E0,1.955844786E0
2.563012128E0,-1.006060362E0,-1.593737602E-1,-1.302150726E0,1.653225321E0
2.579446708E0,-8.671699762E-1,-3.928823471E-1,-1.189373970E0,1.523466687E0
